end,val,accn,fy,fp,form,filed,frame
2024-12-31,2417648000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2024Q4I
2023-12-31,2414103000,0001492298-24-000008,2023,FY,10-K,2024-02-27,CY2023Q4I
2022-12-31,2506774000,0001492298-23-000006,2022,FY,10-K,2023-02-21,CY2022Q4I
2021-12-31,2394475000,0001492298-22-000014,2021,FY,10-K,2022-02-22,CY2021Q4I
2020-12-31,2372374000,0001492298-21-000014,2020,FY,10-K,2021-02-22,
2019-12-31,2402101000,0001492298-20-000007,2019,FY,10-K,2020-02-24,CY2019Q4I
2018-12-31,3232003000,0001492298-19-000006,2018,FY,10-K,2019-02-25,CY2018Q4I
2017-12-31,3394490000,0001492298-18-000008,2017,FY,10-K,2018-02-21,CY2017Q4I
2016-12-31,1210671000,0001492298-17-000006,2016,FY,10-K,2017-02-22,CY2016Q4I
2015-12-31,1397740000,0001492298-16-000054,2015,FY,10-K,2016-02-22,CY2015Q4I
2014-12-31,1092022000,0001492298-15-000010,2014,FY,10-K,2015-02-19,CY2014Q4I
2013-12-31,688078000,0001492298-14-000011,2013,FY,10-K,2014-02-28,CY2013Q4I
2012-12-31,569822000,0001492298-13-000009,2012,FY,10-K,2013-03-14,CY2012Q4I
